time,XLE,XLB,XLI,XLY,XLP,XLV,XLF,XTL,XLU,XLK,XLRE
2006-05-05,37.8920880852,24.3604009212,25.9427174721,27.8709946853,15.8716950046,23.481955891,20.1134226668,,18.3388348098,17.4749470152,
2006-05-08,37.724708831,24.4518227492,25.9209046491,27.9112590521,15.9574522927,23.4743269254,20.0309906067,,18.1963640609,17.4988634573,
2006-05-09,37.9500270578,24.6135690601,25.9209046491,27.9917877856,16.0035633268,23.3064896838,20.0663186324,,18.0424956519,17.427114131,
2006-05-10,38.3040985571,24.6206015084,25.9354465311,28.0078935323,15.9376621493,23.2836027873,20.078094641,,18.1849664009,17.2437547417,
2006-05-11,37.8083984581,24.2830439899,25.8045695932,27.7260429649,15.7397607153,23.2378289941,19.7483664006,,18.0140015021,16.8850081105,
2006-05-12,36.5273033971,23.7626428155,25.3973968974,27.4522452708,15.6144231404,23.1844262354,19.5481742546,,17.8145424536,16.7255651632,
2006-05-15,35.761221426,23.4532150902,25.4046678384,27.524721131,15.7859377166,23.5124717531,19.6835983534,,17.9285190528,16.741509458,
2006-05-16,35.8899746984,23.4602475385,25.3973968974,27.3314521704,15.8453081468,23.5735034773,19.6600463362,,17.8487354333,16.5820665107,
2006-05-17,34.975826464,22.8273271912,24.8738891457,26.9529671227,15.6474067128,23.3293765804,19.2655500485,,17.5751915953,16.3588463846,
2006-05-18,34.5509406649,22.5882239489,24.6703027978,26.936861376,15.5682461392,23.2302000286,19.094797924,,17.5694927653,16.3030413531,
2006-05-19,34.7762588917,22.6796457768,24.7502831488,27.1220774632,15.5814395681,23.1005076146,19.194893997,,17.7176623442,16.4226235635,
2006-05-22,34.5766913193,22.1873743956,24.6993865618,26.9288085026,15.6276165694,23.0013310628,19.1477899626,,17.8544342633,16.279124911,
2006-05-23,34.583128983,22.2366015338,24.5830515059,26.7274866687,15.6210198549,22.8945255454,19.0535818939,,17.6036857451,16.1595427006,
2006-05-24,34.1582431838,22.1381472575,24.5176130369,26.7677510355,15.7397607153,22.9631862352,19.0653579025,,17.6663728746,16.3189856478,
2006-05-25,35.3556486177,22.5178994659,24.6848446798,27.0254429829,15.891485148,23.1767972699,19.236110027,,17.8316389434,16.4704564477,
2006-05-26,35.4715265629,22.8976516742,24.8229925588,27.1140245898,15.891485148,23.3064896838,19.395086143,,18.0253991621,16.5501779213,
2006-05-30,34.9114498277,22.3561531549,24.503071155,26.7033280486,15.693583714,23.0013310628,19.1065739326,,17.8430366034,16.2233198795,
2006-05-31,35.761221426,22.6093212938,24.6775737388,26.9932314895,15.7529541442,23.1462814078,19.2419980313,,18.1393757613,16.2870970584,
2006-06-01,35.8577863803,22.8554569844,24.9320566737,27.411980904,15.8387114323,23.4743269254,19.4657421945,,18.32173832,16.566122216,
2006-06-02,36.392112461,23.0734628818,24.9684113787,27.3556107905,15.80572786,23.5658745118,19.5776142761,,18.5439926884,16.5103171845,
2006-06-05,35.2462083361,22.3842829481,24.430361745,26.9207556293,15.5814395681,23.1996841665,19.2596620442,,18.32173832,16.2631806163,
2006-06-06,35.214020018,22.1944068439,24.3358395121,26.7838567822,15.6276165694,23.2378289941,19.2125580099,,18.3559312997,16.2631806163,
2006-06-07,33.8621106572,21.6880705661,24.0668146952,26.7919096556,15.6210198549,23.3141186494,19.2773260571,,18.2875453402,16.0399604902,
2006-06-08,34.3384977653,21.6177460831,24.0813565772,26.7516452888,15.6737935706,23.3827793391,19.3126540829,,18.3502324698,15.9602390166,
2006-06-09,34.1518055202,21.6036811865,23.9795634033,26.7677510355,15.7199705719,23.3217476149,19.3420941043,,18.5553903483,15.9602390166,
2006-06-12,33.2955962584,21.1676693917,23.5796616485,26.3328958743,15.5946329971,22.9784441662,19.0359178811,,18.5439926884,15.6014923854,
2006-06-13,32.310633724,20.8090145283,23.5069522386,26.123521167,15.5418592813,22.917412442,18.6649736106,,18.32173832,15.6174366801,
2006-06-14,33.1410923314,21.0832800121,23.7105385864,26.2443142674,15.607826426,22.9555572696,18.553101529,,18.1849664009,15.7210745958,
2006-06-15,34.2741211291,21.638843428,24.1831497511,26.7516452888,15.6474067128,23.1462814078,18.853389748,,18.31034066,16.1196819638,
2006-06-16,34.3111119442,21.6575075458,24.2451127103,26.7522412014,15.7507244547,23.2079005623,18.8455645903,,18.4524238886,16.0957655217,
2006-06-19,33.0187913437,21.2256317824,24.0555838677,26.6069801632,15.6910374989,23.0317931018,18.7152684177,,18.1995722377,16.0240161955,
2006-06-20,32.8637128716,21.3176708795,24.0264255842,26.5101394711,15.8037795266,22.9475677946,18.7685713974,,18.2455452651,16.0000997534,
2006-06-21,33.6003356139,21.8345058095,24.3107188481,26.7683813168,15.8634664824,23.0624204862,18.9225577831,,18.2283053798,16.2073755848,
2006-06-22,33.74249088,21.7212269207,24.1649274308,26.5585598172,15.8369389465,22.9322541024,18.8514871436,,18.1650924671,16.0160440481,
2006-06-23,34.4920368283,21.905305115,24.2305335686,26.5343496441,15.7838838746,22.9552246407,18.7271135243,,18.1938256092,15.968211164,
2006-06-26,34.8732714055,21.9690244899,24.2961397064,26.6715406246,15.8700983664,22.8709993335,18.8929450166,,18.2685317788,16.0000997534,
2006-06-27,34.9378874355,21.6929071985,24.0701630095,26.3325982022,15.7971476426,22.633637104,18.7093458644,,18.1995722377,15.7848517747,
2006-06-28,35.5388165148,21.7495466429,24.1430587181,26.3568083752,15.8700983664,22.633637104,18.8100292705,,18.2512918935,15.8884896903,
2006-06-29,36.5468265832,22.6203781003,24.653328679,26.9297824703,16.1221099577,23.0241362557,19.2068403414,,18.4869036592,16.2950692058,
2006-06-30,36.6695970402,22.7265770585,24.6460391081,26.9459225857,16.0425273499,23.1543026396,19.1535373617,,18.5558632003,16.2073755848,
2006-07-03,37.0637548234,22.9956144193,24.7335139585,26.9862728741,16.1353737256,23.2002437162,19.378594387,,18.7627418238,16.3269577952,
2006-07-05,37.2317565015,22.719497128,24.5512746868,26.7361010861,16.002736046,23.1772731779,19.1949952348,,18.6363159984,16.0718490796,
2006-07-06,37.1348324564,22.6982573363,24.6168808246,26.7522412014,16.1884287975,23.2614984851,19.2542207677,,18.538623315,16.0877933744,
2006-07-07,36.6308274222,22.5212590726,24.2524022812,26.5504897595,16.1552693776,23.2844690235,19.159459915,,18.6822890258,15.9283504272,
2006-07-10,36.7406746732,22.577898517,24.318008419,26.5827699902,16.2547476373,23.3686943307,19.2897560875,,18.7857283375,15.7449910378,
2006-07-11,37.4126813855,22.5495787948,24.3836145568,26.5585598172,16.340962129,23.4222922535,19.2956786408,,18.9293940483,15.8087682167,
2006-07-12,37.2834493255,22.3867403922,24.1357691473,26.1389168179,16.2083244494,23.3380669462,19.1061569353,,18.8374479934,15.5217709117,
2006-07-13,36.9280611603,21.7566265735,23.6619470408,25.6627834149,16.0756867698,23.0930478707,18.8041067172,,18.7684884522,15.2666621962,
2006-07-14,37.3609885615,21.7920262262,23.3266267808,25.3319110501,15.9165215543,22.9475677946,18.7271135243,,18.7684884522,15.2268014594,
2006-07-17,36.1526688,21.5017490738,23.2464415013,25.5094523191,15.9563128582,23.0394499479,18.7626488441,,18.8202081081,15.2746343436,
2006-07-18,36.197900021,21.5937881709,23.3557850643,25.3561212232,16.0292635819,23.0394499479,18.8041067172,,18.8489412503,15.306522933,
2006-07-19,36.5726729952,22.1743424758,23.8296071708,25.8645348569,16.2282201014,23.5830860218,19.3016011941,,19.1362726718,15.5297430591,
2006-07-20,35.6874333838,21.5583885181,23.3412059226,25.5255924344,16.2414838693,23.6060565601,19.2246080013,,19.1822456992,15.306522933,
2006-07-21,35.2028131586,21.2751912962,23.1079396547,25.2915607618,16.2083244494,23.7132524057,19.1180020419,,19.2282187266,15.1470799858,
2006-07-24,36.2625160511,21.5937881709,23.4869973399,25.8403246838,16.3276983611,24.1726631723,19.3667492804,,19.406364208,15.3782722592,
2006-07-25,36.8957531453,21.9265449066,23.4213912021,26.0743563565,16.4072809689,24.3793980173,19.4141297067,,19.486817006,15.5456873538,
2006-07-26,37.6388374906,21.8769853928,23.1225187965,25.7757642224,16.3276983611,24.494250709,19.3904394936,,19.5557765471,15.5855480906,
2006-07-27,37.3157573405,21.3955501155,23.0787813713,25.7192738187,16.2215882174,24.3717411712,19.2779109809,,19.4006175795,15.5377152065,
2006-07-28,37.3286805465,21.7849462957,23.3412059226,26.0340060681,16.374121549,24.5019075551,19.6214190721,,19.5327900334,15.8087682167,
2006-07-31,37.8973016107,21.8769853928,23.2464415013,26.0501461835,16.2945389412,24.4176822479,19.5918063057,,19.446590607,15.7848517747,
2006-08-01,37.9425328317,21.6999871291,23.1006500839,25.8080444531,16.2149563334,24.4176822479,19.5325807727,,19.687949001,15.5616316485,
2006-08-02,38.0200720678,22.0469037259,23.2464415013,26.0178659527,16.360857781,24.5708191701,19.5681160925,,19.6707091157,15.7529631852,
2006-08-03,37.6905303146,22.1814224063,23.4359703439,26.1792671063,16.4006490849,24.356427479,19.6510318386,,19.5730164324,15.8007960694,
2006-08-04,37.3739117675,22.0752234481,23.370364206,26.187337164,16.4072809689,24.3640843251,19.6924897117,,19.5787630609,15.7529631852,
2006-08-07,37.7680695507,22.1814224063,23.2755997847,26.1308467602,16.367489665,24.287515864,19.6510318386,,19.3488979237,15.6971581537,
2006-08-08,37.5483750486,21.9492006844,23.0714918004,25.8645348569,16.4404403888,24.2798590179,19.5088905595,,19.5327900334,15.6413531222,
2006-08-09,37.8649935957,21.9690244899,22.7143028278,25.5094523191,16.3343302451,24.3028295562,19.2779109809,,19.5385366619,15.7370188905,
2006-08-10,37.5548366516,22.0256639343,22.8965420995,25.8564647992,16.5067592286,24.2798590179,19.3726718337,,19.5098035197,15.8007960694,
2006-08-11,37.5742214606,21.7778663651,22.7653298239,25.8483947415,16.4735998087,24.1650063262,19.3134463007,,19.4638304923,15.7131024484,
2006-08-14,36.7988291003,21.7212269207,22.8090672491,25.9210252606,16.5067592286,24.218604249,19.3371365139,,19.5960029462,15.8486289535,
2006-08-15,36.9862155874,22.1814224063,23.2245727887,26.2841778561,16.6128693723,24.425339094,19.6628769452,,19.7224287716,16.2153477321,
2006-08-16,36.8311371153,22.5708185865,23.7421323203,26.5504897595,16.6327650242,24.6397307851,19.7694829046,,19.5385366619,16.4704564477,
2006-08-17,36.5726729952,22.4292199755,23.7712906038,26.711890913,16.6062374883,24.700985554,19.8346309908,,19.5155501481,16.5422057739,
2006-08-18,37.1412940594,22.4292199755,23.7129740369,26.7038208553,16.705715748,24.7392697845,19.8642437573,,19.7339220285,16.6059829528,
2006-08-21,37.3868349735,22.4292199755,23.5015764817,26.413298779,16.7455070519,24.6550444773,19.7872505644,,19.7741484275,16.4943728898,
2006-08-22,37.6388374906,22.4929393504,23.5744721904,26.3890886059,16.7322432839,24.7316129384,19.7813280111,,19.8431079686,16.5023450371,
2006-08-23,36.8505219243,22.4575396977,23.3995224895,26.1550569333,16.6791882121,24.7162992462,19.7221024782,,19.6362293452,16.4226235635,
2006-08-24,37.3286805465,22.280541434,23.2755997847,26.0178659527,16.7654027038,24.8847498607,19.7872505644,,19.7166821432,16.4864007424,
2006-08-25,37.6194526816,22.3513407395,23.2828893556,26.0178659527,16.7388751679,24.9000635529,19.6806446051,,19.7166821432,16.5342336266,
2006-08-28,37.0766780294,22.3301009478,23.3776537769,26.2761077984,16.8051940077,25.0608573212,19.8227858842,,19.8660944824,16.6857044264,
2006-08-29,36.8440603213,22.422140045,23.4359703439,26.4697891827,16.8648809635,25.1757100129,19.7398701381,,19.8833343677,16.8371752263,
